text,left,right,top,bottom
A.,11,53,10,45
General,74,235,9,46
services,256,428,20,46
A1.,19,58,82,100
General,66,152,82,101
services,160,251,82,101
—,257,271,92,95
all,278,302,82,101
accounts,310,413,84,101
Item,27,79,127,146
Charge,1776,1860,123,146
Personal,1056,1155,172,191
Customer,1165,1282,172,191
Personal,1390,1486,156,207
Integrated Account,1500,1622,160,203
| (太近了),1659,1660,154,211
HSBC,1780,1848,172,191
One,1857,1903,172,191
|,2023,2024,154,211
HSBC,2087,2154,172,191
Premier,2164,2257,172,190
|,2318,2319,154,211
HSBC,2420,2487,172,191
Jade,2495,2552,172,191
Cashier's,11,121,221,239
order,131,194,221,239
Issue/repurchase,32,215,258,281
a,224,234,263,276
cashier's,244,338,258,276
order1,346,408,254,276
(This,32,80,282,304
charge,89,162,282,305
will,171,205,282,300
be,215,240,282,300
wavied,248,323,282,300
if,334,344,282,300
the,352,386,282,300
repurchase,395,514,282,305
of,523,543,282,300
cashier’s,552,646,282,300
order,654,710,282,300
follows,718,795,282,300
the,803,836,282,300
cheque,845,924,282,305
HK$75,1286,1358,281,302
HK$60,1806,1877,281,302
HK$40,2136,2207,281,302
Waived,2445,2524,282,300
clearing,31,114,306,329
process),126,214,306,329
Loss,33,79,350,368
of,89,109,350,368
a,117,127,355,368
cashier's,137,230,350,368
order,239,296,350,368
HK$60,1028,1098,337,358
plus,1107,1149,338,361
HK$331,1161,1242,337,365
collected,1253,1348,338,365
on,1358,1383,343,356
behalf,1394,1458,338,365
of,1467,1487,338,356
Hong,1497,1552,338,365
Kong,1564,1615,338,361
HK$60,1862,1932,337,358
plus,1942,1984,338,361
HK$331,1995,2077,337,365
collected,2087,2183,338,365
on,2193,2218,343,356
behalf,2228,2293,338,365
of,2301,2321,338,356
Hong,2332,2387,338,365
Kong,2399,2450,338,361
Interbank,1075,1175,363,381
Clearing,1183,1270,363,386
Limited,1282,1358,363,381
on,1368,1393,368,381
circulars,1403,1492,363,381
issued,1503,1569,363,381
Interbank,1909,2009,363,381
Clearing,2017,2104,363,386
Limited,2116,2193,363,381
on,2203,2228,368,381
circulars,2237,2327,363,381
issued,2337,2403,363,381
Additional,30,129,394,442
fee for,142,204,394,442
handling,217,317,394,441
instructions,328,453,397,412
not,463,495,397,412
using,505,560,399,417
Bank's,571,642,394,412
standard,650,743,394,412
form,752,802,394,412
(where accepted by the bank),812,885,394,416
HK$150,1279,1364,406,427
HK$150,2114,2199,406,427
Coins,11,77,450,468
changing/withdrawal/exchange,87,461,450,473
to,470,493,452,468
notes each bag of coins (HK$2、HK$2、HK$1、Waived),504,568,452,468
Coins,11,77,519,537
paid-in,88,167,519,542
(must ,11,79,544,566
be,89,116,544,562
"pre-sorted,",126,254,544,567
per,265,303,549,567
customer,311,425,546,562
per,434,472,549,567
day),480,528,544,567
Below,32,97,576,594
500,106,145,576,594
coins,154,210,576,594
Waived ,1281,1360,572,604
Waived,2116,2195,576,594
500,32,70,632,650
coins,79,134,632,650
or,143,164,637,650
more,173,227,637,650
2%,1163,1197,619,638
of,1206,1226,619,637
the,1233,1265,619,646
full,1272,1306,619,646
amount,1316,1398,622,637
paid-in,1408,1478,619,642
2%,1683,1716,619,638
of,1725,1745,619,637
the,1753,1787,619,646
full,1795,1826,622,637
amount,1835,1918,622,637
paid-in,1927,1998,619,642
1%,2055,2087,607,626
of,2099,2116,607,625
the,2131,2155,607,655
full,2168,2202,607,650
amount,2206,2288,610,625
Waived,2445,2524,632,650
(minimum,1224,1331,645,665
HK$50),1343,1419,643,665
(minimum,1743,1851,645,665
HK$50),1863,1939,643,665
(minimum,2073,2181,656,677
HK$25),2192,2268,655,677
Bulk,12,65,688,706
cash,74,127,688,706
deposit,137,226,688,711
-,235,241,698,701
Hong,251,313,688,711
Kong,324,383,688,711
